Project,file,group,genus,species,colony,field_lab,garden_worker,location
SRP018247,SRR655990,GaAchG0n5c1U0401,Mycocepurus,Mycocepurus smithii,U0401,field,garden,Panama
SRP018247,SRR655992,GaAchG1n3c1T0402,Mycocepurus,Mycocepurus smithii,T0402,field,garden,Panama
SRP018247,SRR655991,GaAchG1n1c1R0401,Mycocepurus,Mycocepurus smithii,R0401,field,garden,Panama
SRP018247,SRR655993,GaAchG3n2c1T0401,Mycocepurus,Mycocepurus smithii,T0401,field,garden,Panama
SRP018247,SRR655994,GaAchG3n2c2T0401,Mycocepurus,Mycocepurus smithii,T0401,field,garden,Panama
SRP018247,SRR655996,GaGreB2n1c5U0301,Mycocepurus,Mycocepurus smithii,U0301,field,garden,Panama
SRP018247,SRR655995,GaGctB4n1c2U0601,Mycocepurus,Mycocepurus smithii,U0601,field,garden,Panama
SRP018247,SRR655997,GaGreD5n2c1R0301,Mycocepurus,Mycocepurus smithii,R0301,field,garden,Panama
SRP018247,SRR655998,GaGreD5n2c2R0301,Mycocepurus,Mycocepurus smithii,R0301,field,garden,Panama
SRP018247,SRR655999,GalabA5n4c1R1207,Mycocepurus,Mycocepurus smithii,R1207,lab,garden,Austinlab
SRP018247,SRR656000,GalabD5n2c1R0301,Mycocepurus,Mycocepurus smithii,R0301,lab,garden,Austinlab
SRP018247,SRR656001,GaLabD5n2c2R0301,Mycocepurus,Mycocepurus smithii,R0301,lab,garden,Austinlab
SRP018247,SRR656002,GaRes00n1c1U0201,Mycocepurus,Mycocepurus smithii,U0201,field,garden,Panama
SRP018247,SRR656004,GaRes00n3c1U0202,Mycocepurus,Mycocepurus smithii,U0202,field,garden,Panama
SRP018247,SRR656003,GaRes00n2c1K0201,Mycocepurus,Mycocepurus smithii,K0201,field,garden,Panama
SRP018247,SRR656005,GaResA5n4c1R1207,Mycocepurus,Mycocepurus smithii,R1207,field,garden,Panama
SRP018247,SRR656006,GaResG0n1c5U0201,Mycocepurus,Mycocepurus smithii,U0201,field,garden,Panama
SRP018247,SRR656022,W1GreB2n1c5U0301,Mycocepurus,Mycocepurus smithii,U0301,field,worker,Panama
SRP018247,SRR656023,W2AchG1n3c1T0402,Mycocepurus,Mycocepurus smithii,T0402,field,worker,Panama
SRP018247,SRR656024,W2ResA5n4c1R1207,Mycocepurus,Mycocepurus smithii,R1207,field,worker,Panama
SRP018247,SRR656025,W2ResG0n1c5U0201,Mycocepurus,Mycocepurus smithii,U0201,field,worker,Panama
SRP018247,SRR656026,W3Res00n3c1U0202,Mycocepurus,Mycocepurus smithii,U0202,field,worker,Panama
SRP018247,SRR656027,W4AchG1n1c1R0401,Mycocepurus,Mycocepurus smithii,R0401,field,worker,Panama
SRP018247,SRR656028,W4AchG3n2c1T0401,Mycocepurus,Mycocepurus smithii,T0401,field,worker,Panama
SRP018247,SRR656029,W4AchG3n2c2T0401,Mycocepurus,Mycocepurus smithii,T0401,field,worker,Panama
SRP018247,SRR656031,W4labA5n4c1R1207,Mycocepurus,Mycocepurus smithii,R1207,lab,worker,Austinlab
SRP018247,SRR656030,W4GreD5n2c2R0301,Mycocepurus,Mycocepurus smithii,R0301,field,worker,Panama
SRP018247,SRR656032,W4Res00n1c1U0201,Mycocepurus,Mycocepurus smithii,U0201,field,worker,Panama
SRP018247,SRR656033,W5Res00n2c1K0201,Mycocepurus,Mycocepurus smithii,K0201,field,worker,Panama
SRP018246,SRR655337,ClLGaRS1607,Cyphomyrmex,Cyphomyrmex longiscapus,RS1607,field,garden,Panama
