BioSample_s	Experiment_s	Library_Name_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	geo_loc_name_s	isolation_source_s	sample_description_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	project_name_s	source_s
SAMN01087060	SRX220161	454Reads.ClLGaRS1607	6	14	SRR655337	SRS387734	CmFGaRS1605	Panama: Pipeline Road, Gamboa	Cyphomyrmex muelleri	Cyphomyrmex muelleri RS1605 field garden from Panama	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087061	SRX220162	454Reads.ClLW3RS1607	6	14	SRR655338	SRS387735	CmFW3RS1605	Panama: Pipeline Road, Gamboa	Cyphomyrmex muelleri	Cyphomyrmex muelleri RS1605 field worker (n=3) from Panama	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087062	SRX220163	454Reads.CmFGaRS1605	5	12	SRR655339	SRS387736	CmLGaRS1605	Panama: Pipeline Road, Gamboa	Cyphomyrmex muelleri	Cyphomyrmex muelleri RS1605 lab garden from Panama but lab maintained for 8 months UT Austin	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087063	SRX220164	454Reads.CmFW3RS1605	5	13	SRR655340	SRS387737	CmLGaUGM0901	Panama: Pipeline Road, Gamboa	Cyphomyrmex muelleri	Cyphomyrmex muelleri UGM0901 lab garden from Panama but lab maintained for 8 months UT Austin	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087064	SRX220165	454Reads.CmLGaRS1605	6	14	SRR655341	SRS387738	CmLW3RS1605	Panama: Pipeline Road, Gamboa	Cyphomyrmex muelleri	Cyphomyrmex muelleri RS1605 lab worker (n=3) from Panama but lab maintained for 8 months UT Austin	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087065	SRX220166	454Reads.CmLGaUGM0901	11	25	SRR655342	SRS387739	CmLW3UGM0901	Panama: Pipeline Road, Gamboa	Cyphomyrmex muelleri	Cyphomyrmex muelleri UGM0901 lab worker (n=3) from Panama but lab maintained for 8 months UT Austin	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087066	SRX220167	454Reads.CmLW3RS1605	7	16	SRR655343	SRS387740	ClFGaRS1602	Panama: Pipeline Road, Gamboa	Cyphomyrmex longiscapus	Cyphomyrmex longiscapus RS1602 field garden from Panama	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087067	SRX220168	454Reads.CmLW3UGM0901	6	14	SRR655344	SRS387741	ClFW3RS1602	Panama: Pipeline Road, Gamboa	Cyphomyrmex longiscapus	Cyphomyrmex longiscapus RS1602 field worker (n=3) from Panama	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087068	SRX220169	454Reads.ClFGaRS1602	6	14	SRR655345	SRS387742	TtFGaU10042706	USA: Spring Seat, Texas	Trachymyrmex turrifex	Trachymyrmex turrifex field garden UGM100427-06 from Spring Seat Texas	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
SAMN01087069	SRX220170	454Reads.ClFW3RS1602	6	15	SRR655346	SRS387743	TtFGaU10050101	USA: Brakenridge Field Laboratory, Texas	Trachymyrmex turrifex	Trachymyrmex turrifex field garden UGM100501-01 from Brakenridge Field Laboratory Texas	AMPLICON	<not provided>	PRJNA170250	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-06-29	ant metagenome	LS454	2013-06-29	SRP018246	<not provided>	<not provided>	Bacterial communities of multiple ant species and their gardens	<not provided>
