BioSample_s	Experiment_s	Library_Name_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	geo_loc_name_s	isolation_source_s	sample_description_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	project_name_s	source_s
SAMN01086985	SRX220192	454Reads.Ch183H6n2c1K1102	6	16	SRR655972	SRS387765	Ch183H6n2c1K1102	11-Apr-10	Panama: Apartment183, Gamboa	nest wall soil	Mycocepurus smithii soil from garden chamber>source colony:KK100411-02	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01086986	SRX220193	454Reads.Ch183K4n1c1K1901	4	9	SRR655973	SRS387766	Ch183K4n1c1K1901	19-Apr-10	Panama: Apartment183, Gamboa	nest wall soil	Mycocepurus smithii soil from garden chamber>source colony:KK100419-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01086987	SRX220194	454Reads.ChAchG3n2c1T0401	4	10	SRR655974	SRS387767	ChAchG3n2c1T0401	04-Apr-10	Panama: Achiote	nest wall soil	Mycocepurus smithii soil from garden chamber>source colony:TAL100404-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01086988	SRX220195	454Reads.ChCav00n1c1U0905	0	2	SRR655975	SRS387768	ChCav00n1c1U0905	09-Apr-10	Panama: Casa Verde	nest wall soil	Mycocepurus smithii soil from garden chamber>source colony:UGM100409-05	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01086989	SRX220196	454Reads.ChGctB4n2c2T0603	9	21	SRR655976	SRS387769	ChGctB4n2c2T0603	06-Apr-10	Panama: Gatun	nest wall soil	Mycocepurus smithii soil from garden chamber>source colony:TAL100406-03	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01086990	SRX220197	454Reads.ChGreB2n1c5U0301	10	23	SRR655977	SRS387770	ChGreB2n1c5U0301	03-Apr-10	Panama: Greenhouse, Gamboa	nest wall soil	Mycocepurus smithii soil from garden chamber>source colony:UGM100403-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01086991	SRX220198	454Reads.ChGreD5n2c2R0301	5	11	SRR655978	SRS387771	ChGreD5n2c2R0301	03-Apr-10	Panama: Greenhouse, Gamboa	nest wall soil	Mycocepurus smithii soil from garden chamber>source colony:RS100403-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01086993	SRX220200	454Reads.ChPlrC5n2c1U0804	5	13	SRR655980	SRS387772	ChPlrC5n2c1U0804	08-Apr-10	Panama: Pipeline Road, Gamboa	nest wall soil	Mycocepurus smithii soil from garden chamber>source colony:UGM100408-04	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01086992	SRX220199	454Reads.ChPlr00n1c1T0801	7	16	SRR655979	SRS387773	ChPlr00n1c1T0801	08-Apr-10	Panama: Pipeline Road, Gamboa	nest wall soil	Mycocepurus smithii soil from garden chamber>source colony:TAL100408-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01086994	SRX220201	454Reads.ChRes00n1c1U0201	7	16	SRR655981	SRS387774	ChRes00n1c1U0201	02-Apr-10	Panama: Resort, Gamboa	nest wall soil	Mycocepurus smithii soil from garden chamber>source colony:UGM100402-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01086995	SRX220202	454Reads.ChRes00n2c1K0201	7	17	SRR655982	SRS387775	ChRes00n2c1K0201	02-Apr-10	Panama: Resort, Gamboa	nest wall soil	Mycocepurus smithii soil from garden chamber>source colony:KK100402-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01086996	SRX220203	454Reads.ChRes00n3c1U0202	8	19	SRR655983	SRS387776	ChRes00n3c1U0202	02-Apr-10	Panama: Resort, Gamboa	nest wall soil	Mycocepurus smithii soil from garden chamber>source colony:UGM100402-02	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01086997	SRX220204	454Reads.ChResA5n4c1R1207	2	6	SRR655984	SRS387777	ChResA5n4c1R1207	12-Apr-10	Panama: Resort, Gamboa	nest wall soil	Mycocepurus smithii soil from garden chamber>source colony:RS100412-07	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01086998	SRX220205	454Reads.ChResG0n1c5U0201	5	12	SRR655985	SRS387778	ChResG0n1c5U0201	02-Apr-10	Panama: Resort, Gamboa	nest wall soil	Mycocepurus smithii soil from garden chamber>source colony:UGM100402-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01086999	SRX220206	454Reads.Edge1	5	12	SRR655986	SRS387779	Edge1	13-Apr-10	Panama: Greenhouse, Gamboa	fungal garden	Mycocepurus smithii fungus garden piece from the edge of a complete garden>source colony:RS100413-02	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087001	SRX220208	454Reads.Edge9	2	4	SRR655988	SRS387780	Edge2	13-Apr-10	Panama: Greenhouse, Gamboa	fungal garden	Mycocepurus smithii fungus garden piece from the edge of a complete garden>source colony:RS100413-02	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087000	SRX220207	454Reads.Edge2	4	9	SRR655987	SRS387781	Edge10	13-Apr-10	Panama: Greenhouse, Gamboa	fungal garden	Mycocepurus smithii fungus garden piece from the edge of a complete garden>source colony:RS100413-02	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087002	SRX220209	454Reads.Edge10	2	5	SRR655989	SRS387782	Edge9	13-Apr-10	Panama: Greenhouse, Gamboa	fungal garden	Mycocepurus smithii fungus garden piece from the edge of a complete garden>source colony:RS100413-02	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087003	SRX220210	454Reads.GaAchG0n5c1U0401	3	7	SRR655990	SRS387783	GaAchG0n5c1U0401	04-Apr-10	Panama: Achiote	fungal garden	Mycocepurus smithii fungus garden>source colony: UGM100404-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087005	SRX220212	454Reads.GaAchG1n3c1T0402	4	10	SRR655992	SRS387784	GaAchG1n3c1T0402	04-Apr-10	Panama: Achiote	fungal garden	Mycocepurus smithii fungus garden>source colony: TAL100404-02	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087004	SRX220211	454Reads.GaAchG1n1c1R0401	1	4	SRR655991	SRS387785	GaAchG1n1c1R0401	04-Apr-10	Panama: Achiote	fungal garden	Mycocepurus smithii fungus garden>source colony: RS100404-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087006	SRX220213	454Reads.GaAchG3n2c1T0401	2	6	SRR655993	SRS387786	GaAchG3n2c1T0401	04-Apr-10	Panama: Achiote	fungal garden	Mycocepurus smithii fungus garden>source colony: TAL100404-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087007	SRX220214	454Reads.GaAchG3n2c2T0401	2	4	SRR655994	SRS387787	GaAchG3n2c2T0401	04-Apr-10	Panama: Achiote	fungal garden	Mycocepurus smithii fungus garden>source colony: TAL100404-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087009	SRX220216	454Reads.GaGreB2n1c5U0301	6	15	SRR655996	SRS387788	GaGreB2n1c5U0301	03-Apr-10	Panama: Greenhouse, Gamboa	fungal garden	Mycocepurus smithii fungus garden>source colony: UGM100403-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087008	SRX220215	454Reads.GaGctB4n1c2U0601	5	13	SRR655995	SRS387789	GaGctB4n1c2U0601	06-Apr-10	Panama: Gatun	fungal garden	Mycocepurus smithii fungus garden>source colony: UGM100406-1	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087010	SRX220217	454Reads.GaGreD5n2c1R0301	3	8	SRR655997	SRS387790	GaGreD5n2c1R0301	03-Apr-10	Panama: Greenhouse, Gamboa	fungal garden	Mycocepurus smithii fungus garden>source colony: RS100403-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087011	SRX220218	454Reads.GaGreD5n2c2R0301	9	22	SRR655998	SRS387791	GaGreD5n2c2R0301	03-Apr-10	Panama: Greenhouse, Gamboa	fungal garden	Mycocepurus smithii fungus garden>source colony: RS100403-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087012	SRX220219	454Reads.GalabA5n4c1R1207	1	2	SRR655999	SRS387792	GalabA5n4c1R1207	01-Jun-11	Panama: Resort, Gamboa	fungal garden	Mycocepurus smithii fungus gardensource colony: RS100412-07	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
